Violation Code,Violation Precinct,Registration State,Vehicle Make,Violation Time,Violation County,Vehicle Color
19,84,NY,NISSA,0228P,K,BK
40,84,NY,TOYOT,1252P,K,BK
71,105,NY,BMW,0203P,Q,BK
71,105,NY,TOYOT,0139P,Q,WH
71,105,NY,SAAB,0122P,Q,GY
71,105,NY,HONDA,0116P,Q,BL
71,105,NY,HONDA,0112P,Q,WH
71,105,NY,HONDA,0102P,Q,BL
70,105,NY,HONDA,0101P,Q,BL
70,105,NY,CHRYS,1258P,Q,GY
71,105,NY,CHRYS,1257P,Q,GY
70,105,NY,TOYOT,1201P,Q,WH
71,105,NY,TOYOT,1200P,Q,WH
70,105,NY,VOLKS,1154A,Q,WH
70,105,NY,CHEVR,1145A,Q,BLACK
71,107,NY,LEXUS,1123A,Q,DK/
20,103,MD,FORD,0605P,Q,RED
20,103,MA,TOYOT,0602P,Q,BLACK
20,102,NY,TOYOT,0510P,Q,WH
71,102,NY,TOYOT,0508P,Q,WH
14,103,NY,NISSA,0325P,Q,GY
71,103,NY,TOYOT,0149P,Q,BK
40,103,NY,FORD,0127P,Q,WHITE
14,103,CT,NISSA,1231P,Q,BLACK
14,103,NY,DODGE,1229P,Q,GY
20,103,NY,TOYOT,1142A,Q,BL
70,103,NY,HONDA,1139A,Q,GY
14,103,NY,CHEVR,1135A,Q,YW
70,103,NY,CHEVR,1133A,Q,YW
14,14,NY,FORD,0213P,NY,WH
71,102,NY,HYUND,0517P,Q,BK
70,102,NY,ME/BE,0353P,Q,BK
71,102,NY,JEEP,0317P,Q,BK
71,24,NY,HONDA,0411P,NY,BL
71,20,NY,TOYOT,0256P,NY,GY
71,24,NY,KIA,0137P,NY,GY
71,24,NY,NS/OT,0102P,NY,TAN
71,24,NY,TOYOT,1253P,NY,GY
71,24,NY,HONDA,1119A,NY,GY
71,1,NY,TOYOT,0405P,NY,BK
24,1,NY,ROVER,1255P,NY,GR
71,1,NY,AUDI,1126A,NY,BK
14,1,NY,LEXUS,1106A,NY,WH
71,1,NY,FORD,1036A,NY,GY
71,102,NY,TOYOT,0308P,Q,BK
71,102,NY,TOYOT,0255P,Q,WH
46,24,NY,FORD,1156A,NY,WHITE
40,24,NY,AUDI,1153A,NY,BK
46,24,NJ,MAZDA,1149A,NY,GREY
14,18,NY,VOLKS,0220P,NY,GY
64,18,NY,CHEVR,0116P,NY,BK
40,18,FL,INFIN,0105P,NY,GREY
70,112,NY,TOYOT,0625P,Q,GY
71,112,NY,TOYOT,0201P,Q,WH
40,112,MA,AUDI,0157P,Q,BLACK
71,112,NY,VOLVO,0130P,Q,GY
71,112,NY,TOYOT,0120P,Q,GY
71,112,NY,CHEVR,1146A,Q,BLACK
14,1,MD,CADIL,0402P,NY,BLACK
14,1,MD,AUDI,0100P,NY,BLACK
61,1,QB,KIA,1208P,NY,WHITE
14,1,MD,JEEP,1203P,NY,BLACK
14,1,PA,HYUND,1048A,NY,GOLD
14,5,NY,MAZDA,0110P,NY,WH
14,5,NJ,JEEP,1123A,NY,WHITE
14,5,NJ,DODGE,1040A,NY,BLACK
17,5,CT,TOYOT,1031A,NY,BLACK
17,5,NY,SUBAR,1029A,NY,GY
71,112,NY,HONDA,0515P,Q,GY
70,112,NY,JEEP,0507P,Q,WH
71,112,NY,MITSU,0136P,Q,BK
71,112,NY,HONDA,0110P,Q,BK
71,107,NY,TOYOT,0533P,Q,GY
20,103,NY,HYUND,0515P,Q,RD
14,103,NC,AUDI,0509P,Q,GREY
71,106,NY,HONDA,0410P,Q,BK
71,102,NY,TOYOT,0120P,Q,BK
14,102,NY,DODGE,0118P,Q,TN
71,102,NY,DODGE,0112P,Q,GY
71,102,NY,NISSA,0109P,Q,BK
71,102,NY,HONDA,0106P,Q,BK
71,102,NY,TOYOT,1203P,Q,WH
71,102,NY,HONDA,1139A,Q,GY
71,102,NY,NISSA,1117A,Q,RD
70,19,NY,AUDI,0357P,NY,GY
40,19,MA,HONDA,0135P,NY,GREY
40,19,NY,HONDA,0133P,NY,GR
71,19,NY,HYUND,1153A,NY,WHITE
20,19,NY,HONDA,1133A,NY,LTG
70,19,NY,ACURA,1120A,NY,GL
70,19,NY,ACURA,1115A,NY,BK
50,19,NY,ME/BE,1106A,NY,BK
71,19,NY,DODGE,1044A,NY,WH
40,1,NJ,NISSA,0407P,NY,BLACK
71,1,NY,DODGE,0200P,NY,GY
40,1,VA,HYUND,1214P,NY,WHITE
71,1,NY,JEEP,1026A,NY,GY
70,1,NY,HONDA,0134P,NY,GY
40,5,FL,CADIL,1246P,NY,WHITE
14,5,MA,NISSA,1238P,NY,BLACK
14,5,NY,HONDA,1203P,NY,GR
71,5,NY,VOLKS,1157A,NY,WH
71,19,NY,VOLVO,0432P,NY,BL
20,19,NY,NISSA,0336P,NY,GY
20,19,MA,LEXUS,0226P,NY,SILVE
40,19,NY,BMW,0220P,NY,WH
71,19,NY,TOYOT,0218P,NY,RD
71,19,NY,HONDA,0217P,NY,GY
70,19,NY,AUDI,0200P,NY,GY
40,19,NY,HYUND,0153P,NY,BL
70,19,NY,HONDA,1245P,NY,GY
71,19,NY,CHEVR,1141A,NY,GY
71,19,NY,HONDA,1140A,NY,BR
40,19,OH,VOLKS,1130A,NY,WHITE
71,19,NY,CHEVR,1125A,NY,BK
71,19,NY,BMW,1114A,NY,BL
40,46,NY,TOYOT,0442P,BX,BK
40,52,NY,NISSA,0344P,BX,GY
70,46,NY,TOYOT,0151P,BX,BK
71,46,NY,TOYOT,0143P,BX,BK
40,46,NY,TOYOT,0119P,BX,WH
70,46,NY,GMC,1252P,BX,BK
40,46,NY,HONDA,1241P,BX,GY
71,46,NY,HONDA,1217P,BX,WH
40,46,NJ,LEXUS,1150A,BX,BLACK
71,46,NY,BUICK,1136A,BX,GY
40,46,NY,TOYOT,1122A,BX,YW
71,94,NY,FORD,0525P,K,WH
71,94,NY,ME/BE,0224P,K,WH
71,94,NY,JEEP,0109P,K,GR
71,94,NY,TOYOT,1209P,K,BL
71,94,NY,GMC,1156A,K,BK
71,94,NY,JEEP,1147A,K,BK
40,94,NJ,DODGE,1116A,K,BLACK
40,94,MI,FORD,1113A,K,WHITE
16,18,NY,VOLKS,0531P,NY,BLUE
74,109,MD,ME/BE,0349P,Q,SILVE
40,109,CT,AUDI,0252P,Q,BLACK
70,109,NY,HONDA,0131P,Q,BK
71,109,NY,KIA,1246P,Q,GY
71,109,NY,FORD,1129A,Q,WH
70,109,NY,TOYOT,1122A,Q,GL
70,109,NY,TOYOT,1119A,Q,GY
20,109,NY,ME/BE,1053A,Q,BLACK
14,109,ON,CHEVR,1047A,Q,SILVE
71,109,NY,TOYOT,1038A,Q,WH
19,109,CT,HONDA,1035A,Q,GREEN
71,26,NY,CHEVR,0407P,NY,GY
71,30,NY,CHEVR,0249P,NY,BL
19,33,MA,FORD,1245P,NY,BLACK
71,33,NY,HONDA,1224P,NY,GY
40,33,MD,NISSA,1157A,NY,BLACK
14,109,NJ,NISSA,0437P,Q,RED
20,109,NY,INFIN,0342P,Q,GY
20,109,NY,TOYOT,0120P,Q,GY
20,109,NY,HONDA,0118P,Q,RD
20,109,NC,PORSC,0114P,Q,WHITE
74,19,NY,FORD,0259P,NY,BK
40,19,VA,BMW,0145P,NY,BLACK
40,19,NY,ACURA,0141P,NY,GY
40,19,NY,TOYOT,1206P,NY,GY
71,19,NY,NISSA,1134A,NY,GY
20,19,NY,FORD,1108A,NY,BL
20,19,NY,DODGE,1107A,NY,WH
50,19,NY,TOYOT,1100A,NY,BL
70,23,NY,GMC,1048A,NY,WH
19,23,NJ,VOLVO,1046A,NY,GREY
19,23,MD,TOYOT,1043A,NY,GREY
19,6,FL,MAZDA,0328P,NY,GREY
71,9,NY,VOLKS,0311P,NY,GREY
71,6,NY,SMART,0258P,NY,BK
71,6,NY,JEEP,0256P,NY,GY
71,6,NY,SUBAR,0246P,NY,RD
71,6,NY,TOYOT,0241P,NY,BLACK
70,6,NY,TOYOT,0238P,NY,BLACK
71,6,NY,FORD,1225P,NY,GY
71,6,NY,ROVER,1222P,NY,BK
70,6,NY,VOLVO,1213P,NY,BL
70,6,NY,ROVER,1205P,NY,GY
71,6,NY,PORSC,1201P,NY,BL
71,6,NY,JEEP,1155A,NY,GREY
20,6,IL,DODGE,1148A,NY,BLACK
23,115,PA,ACURA,0341P,Q,GREY
20,115,NY,SATUR,0159P,Q,BL
71,110,NY,FORD,1249P,Q,WH
70,110,NY,FORD,1248P,Q,WH
14,110,NY,HONDA,1244P,Q,BK
40,110,NY,GMC,1232P,Q,BK
24,110,NJ,FORD,1211P,Q,GREY
71,20,NY,JEEP,0349P,NY,WH
70,20,NY,JEEP,0347P,NY,WH
71,20,NY,AUDI,1252P,NY,BL
20,26,NY,CADIL,1209P,NY,GY
71,26,NY,AUDI,1140A,NY,WH
71,28,NY,TOYOT,1120A,NY,GY
71,28,NY,VOLKS,1114A,NY,WH
71,28,NY,HONDA,1110A,NY,GY
71,110,NY,TOYOT,0351P,Q,BK
14,110,NY,TOYOT,0256P,Q,GY
14,110,NY,LEXUS,0255P,Q,GY
71,115,NY,DODGE,0154P,Q,WH
14,110,NJ,ME/BE,0141P,Q,GREY
10,114,MA,TOYOT,1255P,Q,GREY
10,114,MA,HYUND,1253P,Q,BLACK
40,114,NY,VOLKS,1242P,Q,BL
70,108,NY,ISUZU,1211P,Q,WH
71,108,NY,TOYOT,1209P,Q,GR
70,108,NY,INTER,1206P,Q,WH
70,108,NY,ISUZU,1203P,Q,WH
70,108,NY,FRUEH,1200P,Q,WH
70,108,NY,ISUZU,1159A,Q,WH
40,108,NY,FRUEH,1158A,Q,WH
70,108,NY,FRUEH,1156A,Q,WH
71,108,NY,NISSA,1152A,Q,WH
20,108,NJ,LEXUS,1146A,Q,WHITE
71,110,NY,SUZUK,1126A,Q,BL
71,110,NY,FORD,1121A,Q,BK
71,19,NY,TOYOT,0408P,NY,GR
70,19,NY,TOYOT,0407P,NY,GR
20,19,NY,TOYOT,0237P,NY,GY
14,19,NY,FORD,0118P,NY,WH
19,19,NJ,DODGE,0115P,NY,WHITE
40,19,QB,MITSU,0107P,NY,BLUE
14,19,NY,SUBAR,1258P,NY,RD
46,19,NY,FORD,1241P,NY,WH
40,19,CA,NISSA,1156A,NY,GREY
20,19,NY,LINCO,1148A,NY,BK
20,19,FL,NISSA,1145A,NY,WHITE
71,19,NY,VOLVO,1139A,NY,BL
71,19,NY,BMW,1127A,NY,WH
40,19,TN,TOYOT,1111A,NY,GOLD
71,19,NY,SAAB,1055A,NY,BL
71,20,NY,HONDA,0331P,NY,BK
71,20,NY,LEXUS,0215P,NY,BK
71,20,NY,LEXUS,1242P,NY,BL
71,20,NY,PONTI,1156A,NY,RD
71,20,NY,HONDA,1146A,NY,GY
71,20,NY,LEXUS,1143A,NY,GY
70,20,NY,LEXUS,1142A,NY,GY
71,20,NY,HONDA,1136A,NY,TN
71,20,NY,SUBAR,1129A,NY,BLUE
40,20,NY,TOYOT,1116A,NY,BL
71,20,NY,TOYOT,1108A,NY,BK
71,115,NY,TOYOT,1104A,Q,BK
71,115,NY,FORD,1055A,Q,WH
71,115,NY,CHEVR,1053A,Q,BK
71,115,NY,TOYOT,1052A,Q,BK
71,19,NY,SAAB,0143P,NY,BL
14,20,NY,HONDA,0245P,NY,BR
71,24,NY,MAZDA,0137P,NY,GY
71,24,NY,BUICK,0126P,NY,BK
40,24,NY,SUBAR,0123P,NY,GY
71,24,NY,FORD,0115P,NY,BL
71,24,NY,HONDA,0106P,NY,GY
71,24,NY,HONDA,1249P,NY,WH
71,24,NY,FORD,1247P,NY,WHITE
40,24,VA,HONDA,1209P,NY,WHITE
71,24,NY,FORD,1122A,NY,GL
17,24,AL,MAZDA,1101A,NY,OTHER
14,18,PA,ACURA,0154P,NY,BLACK
14,18,CT,ACURA,0151P,NY,BLUE
14,18,CT,HONDA,0145P,NY,GREY
14,18,NC,CHEVR,0135P,NY,RED
14,19,MA,INFIN,1215P,NY,GREY
23,19,CA,TOYOT,1211P,NY,SILVE
23,19,MT,KIA,1209P,NY,SILVE
23,19,NJ,MITSU,1206P,NY,BLACK
24,19,NY,TOYOT,1154A,NY,BL
70,18,NY,ACURA,1110A,NY,BK
71,17,NY,INFIN,0503P,NY,BK
61,14,NJ,FRUEH,0401P,NY,WHITE
64,14,NY,CHEVR,0344P,NY,GY
40,14,VA,SCION,0238P,NY,WHITE
20,18,NY,HONDA,1111A,NY,BL
20,18,NY,TOYOT,1110A,NY,GY
14,18,NY,FORD,1108A,NY,WH
14,18,MD,VOLKS,1103A,NY,WHITE
40,18,VA,TOYOT,1056A,NY,BLACK
71,13,NY,TOYOT,0512P,NY,TN
71,13,NY,ISUZU,1200P,NY,WH
71,25,NY,SUBAR,0345P,NY,GY
71,28,NY,HYUND,0327P,NY,BK
71,28,NY,LINCO,0309P,NY,BK
71,25,NY,BMW,0251P,NY,GY
71,25,NY,KIA,0139P,NY,BK
71,25,NY,HONDA,0112P,NY,BK
71,23,NY,INFIN,1231P,NY,WH
71,23,NY,CHRYS,1146A,NY,BK
71,19,NY,FORD,1124A,NY,BL
46,19,NY,PORSC,1108A,NY,BK
40,19,NJ,TOYOT,1052A,NY,GREY
13,17,NJ,HONDA,0311P,NY,GREY
64,17,NJ,ME/BE,0253P,NY,GREY
48,17,NY,FORD,0203P,NY,WH
46,17,NY,HONDA,0152P,NY,BK
70,17,NY,ME/BE,0149P,NY,GY
40,17,CT,ME/BE,0143P,NY,BLACK
14,17,MD,ME/BE,0118P,NY,GREY
13,17,NY,HONDA,1143A,NY,BK
70,14,NY,ME/BE,0502P,NY,BK
71,14,NY,HYUND,0455P,NY,BK
71,14,NY,HONDA,1231P,NY,BK
71,24,NY,ROVER,0143P,NY,BK
71,24,NY,TOYOT,1251P,NY,WH
40,24,NY,NISSA,1222P,NY,BK
71,26,NY,MAZDA,1203P,NY,TN
71,24,NY,TOYOT,1130A,NY,RD
17,24,MA,VOLKS,1100A,NY,BLUE
20,28,NY,TOYOT,0403P,NY,GY
40,23,IL,NS/OT,1053A,NY,WHITE
71,61,NY,INFIN,0500P,K,GY
71,61,NY,HONDA,0340P,K,BK
70,61,NY,CHEVR,0255P,K,BK
70,61,NY,LEXUS,1250P,K,GY
70,61,NY,HONDA,1243P,K,BK
70,61,NY,TOYOT,1236P,K,WH
71,61,NY,FORD,1234P,K,BK
70,61,NY,CHRYS,1201P,K,BK
70,61,NY,HYUND,1143A,K,GY
20,61,NJ,HYUND,1141A,K,BLACK
70,61,NY,NISSA,1130A,K,YW
20,61,CT,ME/BE,1117A,K,BLACK
71,62,NY,KIA,0559P,K,BK
71,62,NY,HONDA,0549P,K,BK
71,62,NY,INFIN,0540P,K,GY
71,62,NY,ME/BE,0536P,K,WH
71,62,NY,DODGE,0523P,K,BL
14,62,NY,HYUND,0443P,K,RD
71,62,NY,ACURA,0432P,K,GR
71,62,NY,FORD,0415P,K,BL
71,62,NY,INFIN,0412P,K,GY
71,62,NY,ME/BE,0404P,K,BLACK
71,62,NY,HONDA,0329P,K,GY
71,62,NY,NISSA,0307P,K,GY
71,62,NY,TOYOT,0305P,K,GY
71,62,NY,HONDA,0227P,K,GY
71,62,NY,TOYOT,0152P,K,YW
71,62,NY,MAZDA,0149P,K,SILVE
71,62,NY,NISSA,0139P,K,BK
71,62,NY,TOYOT,0135P,K,GR
71,62,NY,FORD,0131P,K,WH
71,62,NY,TOYOT,0124P,K,BK
71,62,NY,TOYOT,0116P,K,GY
71,62,NY,TOYOT,0114P,K,BK
71,62,NY,FORD,0108P,K,WH
71,62,NY,VOLKS,0105P,K,GY
71,62,NY,MAZDA,1228P,K,GY
71,62,NY,HYUND,1206P,K,GY
74,60,NY,HYUND,1150A,K,BL
70,60,NY,TOYOT,1139A,K,GY
71,60,NY,HYUND,1115A,K,BL
71,60,NY,VOLKS,1106A,K,WH
71,60,NY,FORD,1102A,K,BK
71,94,NY,JEEP,1056A,K,WH
71,43,NY,MITSU,0409P,BX,GY
20,43,NY,HYUND,0353P,BX,BK
40,43,RI,FORD,1119A,BX,RED
14,18,NJ,ISUZU,0523P,NY,WHITE
14,18,VA,FORD,0223P,NY,BLACK
14,18,ON,DODGE,1256P,NY,WHITE
14,18,NY,FORD,1118A,NY,WH
14,18,NY,FRUEH,1112A,NY,WH
40,18,VA,DODGE,1108A,NY,RED
17,18,NJ,INTER,1105A,NY,BLUE
46,24,NY,FORD,0355P,NY,WH
71,24,NY,JEEP,0148P,NY,GR
20,24,NJ,TOYOT,0140P,NY,BLACK
71,24,NY,BUICK,1150A,NY,GY
46,24,NY,FORD,1127A,NY,WH
71,20,NY,TOYOT,1119A,NY,RD
71,20,NY,ACURA,1108A,NY,WH
71,88,NY,FORD,0203P,K,GL
71,88,NY,HONDA,0129P,K,GY
71,88,NY,LEXUS,1231P,K,BK
70,88,NY,GMC,1220P,K,WH
71,88,NY,AUDI,1217P,K,GY
71,88,NY,JEEP,1214P,K,WH
71,88,NY,TOYOT,1210P,K,GY
71,88,NY,CADIL,1100A,K,GY
71,88,NY,TOYOT,1052A,K,BK
71,88,NY,TOYOT,1048A,K,GY
71,24,NY,HONDA,0414P,NY,GY
71,24,NY,NISSA,0127P,NY,GY
71,24,NY,FORD,1222P,NY,TN
7,0,NY,TOYOT,0913P,BK,GY
7,0,NY,INFIN,0907P,QN,WH
7,0,NJ,CADIL,0905P,MN,BK
7,0,NJ,DODGE,0856P,MN,SL
7,0,NY,TOYOT,0855P,QN,RD
7,0,NY,TOYOT,0854P,BK,BK
7,0,NY,TOYOT,0853P,BX,GY
7,0,NY,HONDA,0850P,BX,GY
7,0,NJ,NISSA,0849P,MN,RED
7,0,NY,HYUND,0845P,BK,RD
7,0,DE,CHEVR,0836P,BK,
7,0,NY,JEEP,0834P,QN,WH
7,0,NY,TOYOT,0834P,MN,GY
7,0,MA,CHRYS,0834P,BX,
7,0,NY,NISSA,0833P,BK,YW
7,0,NY,NISSA,0833P,BK,BK
7,0,NY,HYUND,0833P,BK,BL
7,0,NY,CHEVR,0832P,QN,WH
7,0,NJ,TOYOT,0828P,ST,GREEN
7,0,NY,LEXUS,0828P,MN,TN
7,0,CT,TOYOT,0822P,BK,TAN
7,0,NJ,HONDA,0819P,QN,SL
7,0,NY,TOYOT,0817P,BK,BK
7,0,CT,SUBAR,0810P,BX,WHI
7,0,NJ,CHRYS,0803P,BK,RD
7,0,NY,HONDA,0803P,BK,BL
7,0,MD,BMW,0755P,BK,
7,0,OH,NISSA,0753P,QN,GREY
7,0,NY,HONDA,0730P,MN,BL
7,0,CA,DODGE,0757P,QN,
7,0,NY,TOYOT,0756P,QN,GY
7,0,NY,TOYOT,0756P,BK,GY
7,0,NY,AUDI,0756P,ST,GY
7,0,NY,MINI,0755P,BX,BL
7,0,NY,FORD,0753P,BK,BL
7,0,NY,CHEVR,0738P,MN,BK
7,0,NY,HONDA,0734P,QN,GR
7,0,NY,LINCO,0733P,BK,BK
7,0,NY,DODGE,0731P,BK,BK
7,0,NY,TOYOT,0727P,BK,BK
7,0,NJ,JEEP,0724P,BK,WT
7,0,NY,TOYOT,0724P,BK,BK
7,0,NY,TOYOT,0724P,BX,WH
7,0,NY,VOLKS,0718P,QN,BR
7,0,NY,TOYOT,0713P,BK,GY
7,0,NH,FORD,0711P,QN,GRY
7,0,NY,DODGE,0711P,QN,GY
7,0,NY,HONDA,0707P,QN,GY
7,0,NY,TOYOT,0705P,BK,RD
7,0,NY,HONDA,0703P,BX,GY
7,0,NY,NISSA,0702P,QN,WH
7,0,NY,TOYOT,0701P,BX,WH
7,0,NY,VOLKS,0659P,QN,WH
7,0,NY,HONDA,0651P,BX,GY
7,0,CT,NISSA,0651P,QN,RED
7,0,NY,TOYOT,0649P,QN,BL
7,0,NJ,TOYOT,0649P,BK,BK
7,0,NY,CHRYS,0643P,QN,BK
7,0,NY,TOYOT,0633P,BK,GY
7,0,NY,TOYOT,0629P,BK,BL
7,0,NY,FORD,0627P,MN,YW
7,0,NY,TOYOT,0624P,BK,WH
7,0,OH,TOYOT,0621P,QN,WHITE
7,0,NY,HONDA,0618P,QN,GY
7,0,NY,CHRYS,0617P,QN,GY
7,0,NY,NISSA,0614P,QN,RD
7,0,FL,VOLKS,0614P,BX,GRY
7,0,NY,TOYOT,0607P,MN,GY
7,0,NJ,HONDA,0606P,BK,GY
7,0,NY,NISSA,0604P,QN,GY
7,0,NY,TOYOT,0604P,QN,YW
7,0,NJ,LINCO,0603P,ST,BLK
7,0,NY,TOYOT,0601P,BK,BK
7,0,NY,TOYOT,0558P,QN,GY
7,0,NH,SATUR,0558P,BK,PLE
7,0,NY,TOYOT,0557P,BK,YW
7,0,NJ,HONDA,0554P,MN,GY
7,0,NY,ACURA,0554P,BK,RD
7,0,NY,HONDA,0553P,QN,WH
7,0,NY,LINCO,0551P,BX,BK
7,0,NY,CHRYS,0545P,QN,RD
7,0,NY,TOYOT,0545P,QN,BK
7,0,NY,TOYOT,0542P,QN,GY
7,0,NY,TOYOT,0541P,QN,YW
7,0,NY,DODGE,0541P,QN,BK
7,0,CT,FORD,0537P,QN,SIL
7,0,NY,VOLKS,0536P,QN,RD
7,0,CT,FORD,0534P,QN,WHI
7,0,NY,HONDA,0531P,QN,BR
46,19,NY,FORD,1146A,NY,WH
71,19,NY,NISSA,1140A,NY,GY
20,19,NJ,LEXUS,0347P,NY,WHITE
14,19,MA,MERCU,1257P,NY,BLACK
19,19,NY,FORD,1245P,NY,WHITE
71,19,NY,CHEVR,1237P,NY,BK
20,19,NH,AUDI,1145A,NY,BLACK
71,19,NY,SUBAR,1114A,NY,GR
40,19,NY,CHEVR,1101A,NY,BK
40,24,NY,GMC,0403P,NY,WH
71,24,NY,HONDA,1158A,NY,BK
40,24,MD,ME/BE,1144A,NY,BLACK
40,24,DC,AUDI,1124A,NY,SILVE
71,24,NY,HONDA,1108A,NY,GY
71,110,NY,LINCO,0326P,Q,BK
71,115,NY,ME/BE,0213P,Q,WH
71,115,NY,TOYOT,0205P,Q,GR
20,115,NJ,SUBAR,0201P,Q,GREY
23,115,MA,FORD,0145P,Q,BLACK
23,115,NY,HYUND,1251P,Q,BK
20,110,NJ,HYUND,1239P,Q,BLACK
