Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Violation Time,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Law Section,Sub Division,Vehicle Color,Vehicle Year
1435231880,HMX7471,NY,PAS,01/01/2018,71,SDN,NISSA,20190502,60,60,60,958903,60,0126A,K,F,2920,W 21 STREET,408,J2,WH,2006
1435231879,HMX7471,NY,PAS,01/01/2018,74,SDN,NISSA,20190502,60,60,60,958903,60,0126A,K,F,2920,W 21 STREET,408,K6,WH,2006
1435303805,GCC2097,NY,PAS,01/01/2018,40,SDN,NISSA,20191022,78,78,78,949394,78,0235A,K,F,119,GARFIELD PL,408,F1,BLK,2009
1434199680,HRU6500,NY,PAS,01/01/2018,19,SUBN,HONDA,20190508,32,32,0,962207,PSA6,0955A,NY,F,2790,8TH AVE,408,E2,BLU,2007
1434199435,HRH5809,NY,PAS,01/01/2018,19,SUBN,JEEP,20190430,32,32,806,961995,806,1116A,,F,2790,8TH AVE,408,C3,GRAY,2017
1434199423,HSV8177,99,PAS,01/01/2018,19,SDN,BMW,0,32,32,0,946118,PSA6,1116A,,F,,7 T9N 95AV,408,D5,BLACK,2007
1405710901,GTT8241,NY,PAS,01/01/2018,98,,NISSA,20180124,73,73,73,959332,73,0420P,,F,1851,PROSPECT PL,408,C,,0
1426223500,HNY5197,NY,PAS,01/01/2018,24,SUBN,FORD,20190402,43,43,808,961264,808,0525A,BX,O,1350,MANOR AVE,408,D5,WHITE,2003
1425886085,GPR2741,NY,PAS,01/01/2018,98,SUBN,FORD,20180615,45,45,45,946463,45,0144P,BX,F,2839,ZUNETTE AVE,408,E2,BROWN,2011
1425274882,GEJ944,OK,PAS,01/01/2018,16,SUBN,,0,18,18,420,942028,420,0540P,NY,F,54,W 47 ST,408,K2,WHITE,0
1425274857,GGM4136,NY,PAS,01/01/2018,16,SUBN,ME/BE,20190403,18,18,420,942028,420,0532P,NY,F,50,W 47 ST,408,K2,WHITE,2017
1425274810,HWS2714,NY,PAS,01/01/2018,16,SUBN,ME/BE,20180110,18,18,420,942028,420,0532P,NY,F,50,W 47 ST,408,K2,SILVE,2015
1425274572,HSZ3333,NY,PAS,01/01/2018,16,SDN,VOLVO,20190802,18,18,420,942028,420,0523P,NY,F,20,W 47 ST,408,K2,GRAY,0
1425274560,MSV9732,NY,PAS,01/01/2018,16,SDN,TOYOT,20190529,18,18,420,942028,420,0521P,NY,F,20,W 47 ST,408,K2,GRAY,2017
1425274559,HPB4373,NY,PAS,01/01/2018,16,SUBN,FORD,20190517,18,18,420,942028,420,0520P,NY,F,22,W 47 ST,408,C,GOLD,2007
1425274547,HLD6957,NY,PAS,01/01/2018,14,SUBN,FORD,20190206,18,18,420,942028,420,0516P,NY,O,14,W 47 ST,408,C,WHITE,2002
1428531117,HHS3760,NY,PAS,01/01/2018,21,SUBN,HONDA,20180123,72,72,420,923036,420,1136A,K,F,84,P PARK WEST,408,J6,,0
1428081744,GGF7069,99,PAS,01/01/2018,98,SUBN,NISSA,20190725,104,104,104,941342,104,0140P,Q,F,7005,JUNIPER VALLEY RD,408,E2,GREY,2003
1421813889,HFM7014,99,PAS,01/01/2018,10,SDN,CHEVR,20180311,114,114,0,961298,PSA9,0930A,Q,,,S/E C/O 41 RD,408,B,GRY,2016
8613655440,T741840C,NY,OMT,01/01/2018,71,4DSD,VOLKS,20180531,61,61,61,363987,T302,0455P,K,F,1901,Avenue R,408,j6,GY,2013
8613655415,DUJ6090,NY,PAS,01/01/2018,71,4DSD,TOYOT,20180822,61,61,61,363987,T302,0309P,K,F,4375,Bedford Ave,408,j6,TN,2006
8613655361,EBG4562,NY,PAS,01/01/2018,71,SUBN,TOYOT,20190916,70,70,70,363987,T302,0244P,K,I,N,18th Ave,408,j6,BL,2008
8613655221,559969,NY,PAS,01/01/2018,71,SUBN,TOYOT,20180719,66,66,66,363987,T302,0121P,K,F,4720,15th Ave,408,j6,GY,2017
8613655210,T677354C,NY,OMT,01/01/2018,71,SUBN,CHEVR,20180731,66,66,66,363987,T302,0114P,K,F,4013,15th Ave,408,j6,BK,2015
8613655117,DDF3259,NY,PAS,01/01/2018,71,SUBN,NISSA,20190103,70,70,70,363987,T302,1219P,K,I,S,Avenue I,408,j6,GY,2016
8613655105,Z0OO0M2O,NY,SRF,01/01/2018,71,4DSD,NISSA,20190131,70,70,70,363987,T302,1215P,K,O,890,E 16th St,408,j6,WH,2017
8613654976,93442MJ,NY,COM,01/01/2018,71,VAN,FORD,20191130,61,61,61,363987,T302,1127A,K,F,4052,Bedford Ave,408,j6,WH,1993
8612107027,FCE6620,NY,PAS,01/01/2018,71,SUBN,TOYOT,20180727,63,63,63,357764,T302,0217P,K,F,675,E 32nd St,408,j6,WH,1996
8612106989,CHV1998,NY,PAS,01/01/2018,71,SUBN,TOYOT,20190202,63,63,63,357764,T302,0207P,K,I,S,Farragut Rd,408,j6,GY,2002
8612106953,EMM8185,NY,PAS,01/01/2018,71,4DSD,MAZDA,20180918,63,63,63,357764,T302,0159P,K,F,659,E 31st St,408,j6,GY,2003
8612106941,AJB7786,NY,PAS,01/01/2018,71,SUBN,DODGE,20190317,63,63,63,357764,T302,0156P,K,I,E,E 31st St,408,j6,BK,2006
8612106930,T687584C,NY,OMT,01/01/2018,14,4DSD,TOYOT,20180228,63,63,63,357764,T302,0147P,K,O,37,Hillel Pl,408,c,BK,2016
8612106898,93TK79,NY,MCL,01/01/2018,20,MCC,HONDA,20180430,63,63,63,357764,T302,1133A,K,F,2294,Nostrand Ave,408,d,BLACK,0
8612106886,T650509C,NY,OMT,01/01/2018,20,4DSD,FORD,20181130,63,63,63,357764,T302,1131A,K,F,2294,Nostrand Ave,408,d,BK,2010
8612106874,YH101,NY,PAS,01/01/2018,71,SUBN,LEXUS,88880088,63,63,63,357764,T302,1127A,K,O,2361,Nostrand Ave,408,j6,BLACK,0
8612106837,T754792C,NY,OMT,01/01/2018,40,4DSD,HONDA,20180930,63,63,63,357764,T302,1117A,K,F,3201,Avenue J,408,e2,BK,2017
8612106813,EHE1436,NY,PAS,01/01/2018,71,4DSD,HONDA,20180409,63,63,63,357764,T302,1107A,K,F,1824,Flatbush Ave,408,j6,GY,2011
8612106795,DTU7814,NY,PAS,01/01/2018,71,SUBN,HONDA,20181006,63,63,63,357764,T302,1042A,K,F,3860,Kings Hwy,408,j6,GY,2009
8616804298,95704MC,NY,COM,01/01/2018,14,VAN,FRUEH,20171231,17,17,17,352995,T106,0437P,NY,I,S,E 36th St,408,c,WH,2013
8616804286,66614ME,NY,COM,01/01/2018,13,REFG,HIN,20180630,17,17,17,352995,T106,0420P,NY,F,800,3rd Ave,408,c2,WH,2003
8616804274,47499MC,NY,COM,01/01/2018,46,VAN,FRUEH,20181231,17,17,17,352995,T106,0417P,NY,F,800,3rd Ave,408,F1,WH,2013
8616804262,HMC008,OK,PAS,01/01/2018,20,4DSD,CHRYS,20180588,17,17,17,352995,T106,0351P,NY,F,320,E 53rd St,408,d,GREY,0
8616804250,48912MJ,NY,COM,01/01/2018,13,VAN,FORD,20180731,17,17,17,352995,T106,0222P,NY,F,425,Lexington Ave,408,c2,WH,2016
8616804249,58631MJ,NY,COM,01/01/2018,13,VAN,FORD,20180630,17,17,17,352995,T106,0221P,NY,F,425,Lexington Ave,408,c2,WH,2016
8616804237,U73HBH,NJ,PAS,01/01/2018,64,4DSD,MAZDA,88880088,17,17,17,352995,T106,0218P,NY,F,143,E 43rd St,408,C8,BLACK,0
8616804225,672WND,WI,PAS,01/01/2018,64,4DSD,TOYOT,20171088,17,17,17,352995,T106,0216P,NY,I,N,E 43rd St,408,C8,WHITE,0
8616804201,AYZ8395,NY,PAS,01/01/2018,64,4DSD,JAGUA,20190311,17,17,17,352995,T106,0210P,NY,F,330,E 43rd St,408,C8,BK,2017
8616804195,W99JND,NJ,PAS,01/01/2018,14,PICK,FORD,88880088,14,14,14,352995,T106,0126P,NY,F,64,W 37th St,408,c,BLACK,0
8616804183,YFL95S,NJ,PAS,01/01/2018,14,PICK,HONDA,88880088,14,14,14,352995,T106,0118P,NY,F,114,E 35th St,408,c,SILVE,0
8616804160,2257341,IN,PAS,01/01/2018,14,DELV,FRUEH,20180088,17,17,17,352995,T106,1231P,NY,I,S,E 47th St,408,c,YELLO,0
8610626957,FJM4080,NY,PAS,01/01/2018,40,SUBN,FORD,20190321,79,79,79,361084,T301,0607P,K,F,317,Halsey St,408,e2,GY,2006
8610626908,FZE6163,NY,PAS,01/01/2018,71,VAN,FORD,20180430,79,79,79,361084,T301,0235P,K,F,455,Dekalb Ave,408,j6,BK,2006
8610626880,T662900C,NY,OMT,01/01/2018,71,4DSD,FORD,20180131,79,79,79,361084,T301,0227P,K,F,471,Dekalb Ave,408,j6,GY,2012
8610626878,ENL4452,NY,PAS,01/01/2018,71,SUBN,TOYOT,20190101,79,79,79,361084,T301,0216P,K,F,739,Dekalb Ave,408,j6,GL,2011
8610626805,ABR01,NY,SRF,01/01/2018,71,PICK,NISSA,20181218,79,79,79,361084,T301,0139P,K,F,226,Pulaski St,408,j6,BL,2011
8610626775,DLZ9886,NY,PAS,01/01/2018,70,SUBN,CADIL,20171222,79,79,79,361084,T301,0117P,K,F,37,Hart St,408,j3,BK,2008
8610626726,ERM2489,NY,PAS,01/01/2018,40,4DSD,FORD,20191004,81,81,81,361084,T301,1247P,K,O,338,Hart St,408,e2,GY,2015
8610626696,CJK9425,NY,PAS,01/01/2018,71,4DSD,INFIN,20190820,79,79,79,361084,T301,1158A,K,F,602,Willoughby Ave,408,j6,BK,2011
8610626684,VUJ9585,VA,PAS,01/01/2018,40,4DSD,FORD,20190488,79,79,79,361084,T301,1152A,K,F,526,Willoughby Ave,408,e2,RED,0
8610626647,ESD2647,NY,PAS,01/01/2018,71,SUBN,TOYOT,20190706,88,88,88,361084,T301,1112A,K,F,482,Myrtle Ave,408,j6,GY,2007
8610626611,CHL3465,NC,PAS,01/01/2018,14,4DSD,CADIL,20180588,84,84,84,361084,T301,1054A,K,O,25,Elm Pl,408,c,BLACK,0
8606652040,T749374C,NY,OMT,01/01/2018,71,SUBN,JEEP,20180731,49,49,49,363945,T201,0403P,BX,F,2104,Holland Ave,408,j6,BK,2014
8606652039,CVT9005,NY,PAS,01/01/2018,71,SUBN,INFIN,20180228,49,49,49,363945,T201,0231P,BX,O,725,Brady Ave,408,j6,BK,2012
8606652027,FWT2071,NY,PAS,01/01/2018,70,SUBN,NISSA,20171229,49,49,49,363945,T201,0229P,BX,I,E,Holland Ave,408,j3,RD,2012
8606652003,T744486C,NY,OMT,01/01/2018,71,SUBN,HONDA,20180630,49,49,49,363945,T201,0217P,BX,F,2095,Cruger Ave,408,j6,GY,2014
8606651990,DAR4050,NY,PAS,01/01/2018,71,4DSD,FORD,20180928,49,49,49,363945,T201,0207P,BX,F,2160,Bronx Park East,408,j6,GR,1998
8606651941,670112C,TX,PAS,01/01/2018,40,SUBN,JEEP,88880088,49,49,49,363945,T201,1149A,BX,O,2084,Bronx Park East,408,e2,WHITE,0
8606651930,T680133C,NY,OMT,01/01/2018,71,4DSD,TOYOT,20180731,49,49,49,363945,T201,1143A,BX,F,2100,Bronx Park East,408,j6,BK,2015
8606651928,AJ91997,CT,PAS,01/01/2018,14,4DSD,MAZDA,88880088,49,49,49,363945,T201,1121A,BX,I,S,Pelham Pkwy S,408,c,BLACK,0
8605706892,T637929C,NY,OMT,01/01/2018,14,4DSD,TOYOT,20180831,52,52,52,362219,T201,0307P,BX,I,N,W 192nd St,408,c,BK,2016
8605706867,T708855C,NY,OMT,01/01/2018,14,4DSD,TOYOT,20180831,46,46,46,362219,T201,0150P,BX,I,N,W 184th St,408,c,BK,2016
8605706788,DCN6037,NY,PAS,01/01/2018,71,PICK,NISSA,20181118,52,52,52,362219,T201,1124A,BX,O,66,E 190th St,408,j6,RD,2014
8609970280,3CC8564,MA,PAS,01/01/2018,14,SUBN,BMW,20180088,94,94,94,363529,T301,0512P,K,O,128,N 4th St,408,c,BLACK,0
8609970279,N56JGC,NJ,PAS,01/01/2018,14,4DSD,HONDA,88880088,94,94,94,363529,T301,0510P,K,F,119,N 4th St,408,c,BLACK,0
8609970255,R68GJG,NJ,PAS,01/01/2018,19,4DSD,HONDA,88880088,94,94,94,363529,T301,0426P,K,F,247,Bedford Ave,408,c3,WHITE,0
8609970243,X808304,IL,PAS,01/01/2018,14,4DSD,TOYOT,20180088,94,94,94,363529,T301,0348P,K,O,139,N 4th St,408,c,BLACK,0
8609970231,DSG4794,NY,PAS,01/01/2018,14,4DSD,HONDA,20180702,94,94,94,363529,T301,0325P,K,F,159,N 4th St,408,c,GY,2007
8609970103,EVL3417,NY,PAS,01/01/2018,71,4DSD,TOYOT,20190901,94,94,94,363529,T301,1244P,K,O,189,Berry St,408,j6,GY,2017
8609970085,ESV5112,NY,PAS,01/01/2018,71,SUBN,SUBAR,20190712,94,94,94,363529,T301,1151A,K,F,119,N 5th St,408,j6,BL,2011
8609970073,FPJ8159,NY,PAS,01/01/2018,71,4DSD,BMW,20170807,94,94,94,363529,T301,1144A,K,O,123,Berry St,408,j6,BK,2002
8609970061,FPJ8159,NY,PAS,01/01/2018,70,4DSD,BMW,20170807,94,94,94,363529,T301,1143A,K,O,123,Berry St,408,j3,BK,2002
8609970050,ECL8337,NY,PAS,01/01/2018,71,4DSD,VOLKS,20191024,94,94,94,363529,T301,1137A,K,O,149-151,N 8th St,408,j6,GY,2001
8610676493,DFTS78,FL,PAS,01/01/2018,14,SUBN,JEEP,20180688,84,84,84,362231,T301,0531P,K,O,25,Elm Pl,408,c,OTHER,0
8610676456,438YYH,WA,PAS,01/01/2018,14,4DSD,KIA,20180688,84,84,84,362231,T301,0408P,K,O,25,Elm Pl,408,c,RED,0
8610676432,EJS1927,NY,PAS,01/01/2018,71,4DSD,HYUND,20180621,88,88,88,362231,T301,0342P,K,F,154,Adelphi St,408,j6,BL,2017
8610676420,DNL6974,NY,PAS,01/01/2018,71,SUBN,HONDA,20180130,88,88,88,362231,T301,0302P,K,I,N,Myrtle Ave,408,j6,BLUE,2006
8610676389,FMA8227,NY,PAS,01/01/2018,14,SUBN,ACURA,20190512,84,84,84,362231,T301,0246P,K,I,W,Elm Pl,408,c,GY,2007
8610676250,FXX7611,NY,PAS,01/01/2018,71,SUBN,TOYOT,20180606,84,84,84,362231,T301,1245P,K,F,100,Water St,408,j6,BK,2005
8610676237,FHV9572,NY,PAS,01/01/2018,71,SUBN,JEEP,20190223,84,84,84,362231,T301,1217P,K,F,15,Main St,408,j6,GR,2011
8610676225,FCD4561,NC,PAS,01/01/2018,20,SUBN,HONDA,20180188,84,84,84,362231,T301,1213P,K,F,1,Main St,408,d,OTHER,0
8604564457,FZD9182,NY,PAS,01/01/2018,19,SUBN,TOYOT,20180521,84,84,84,366527,T301,0548P,K,F,76,Court St,408,c3,GY,2012
8604564421,FZG2470,NY,PAS,01/01/2018,71,4DSD,ME/BE,20180723,84,84,84,366527,T301,0433P,K,F,177,Livingston St,408,j6,GY,2010
8604564408,ZFV2611,NY,ITP,01/01/2018,40,4DSD,ME/BE,20180104,84,84,84,366527,T301,0246P,K,F,15,Hanover Pl,408,e2,WHITE,2014
8604564391,FGE2727,NY,PAS,01/01/2018,19,SUBN,NISSA,20190302,84,84,84,366527,T301,0228P,K,F,204,Livingston St,408,c3,BK,2014
8604564366,FYT6102,NY,PAS,01/01/2018,40,SUBN,TOYOT,20180531,84,84,84,366527,T301,1252P,K,O,250,Livingston St,408,e2,BK,2012
8603309693,JCMSVR,NY,SRF,01/01/2018,71,SUBN,BMW,20180630,105,105,105,355205,T402,0203P,Q,F,229-06,69th Ave,408,j6,BK,2015
8603309644,ELC8911,NY,PAS,01/01/2018,71,4DSD,TOYOT,20180823,105,105,105,355205,T402,0139P,Q,I,W,218th St,408,j6,WH,2016
8603309590,AME6701,NY,PAS,01/01/2018,71,4DSD,SAAB,20190507,105,105,105,355205,T402,0122P,Q,F,74-06,220th St,408,j6,GY,2005
8603309577,EPC6074,NY,PAS,01/01/2018,71,SUBN,HONDA,20190108,105,105,105,355205,T402,0116P,Q,F,219-02,75th Ave,408,j6,BL,2008
8603309565,AHE2609,NY,PAS,01/01/2018,71,SUBN,HONDA,20190816,105,105,105,355205,T402,0112P,Q,F,219-23,75th Ave,408,j6,WH,2017
8603309553,DZU7143,NY,PAS,01/01/2018,71,4DSD,HONDA,20171230,105,105,105,355205,T402,0102P,Q,O,73-11,210th St,408,j6,BL,2004
8603309541,DZU7143,NY,PAS,01/01/2018,70,4DSD,HONDA,20171230,105,105,105,355205,T402,0101P,Q,O,73-11,210th St,408,j3,BL,2004
8603309530,FMT5146,NY,PAS,01/01/2018,70,SUBN,CHRYS,20171031,105,105,105,355205,T402,1258P,Q,F,75-10,210th St,408,j3,GY,2005
8603309528,FMT5146,NY,PAS,01/01/2018,71,SUBN,CHRYS,20171031,105,105,105,355205,T402,1257P,Q,F,75-10,210th St,408,j6,GY,2005
8603309425,DJK9948,NY,PAS,01/01/2018,70,4DSD,TOYOT,20171208,105,105,105,355205,T402,1201P,Q,I,S,Grand Central Pky,408,j3,WH,2012
8603309413,DJK9948,NY,PAS,01/01/2018,71,4DSD,TOYOT,20171208,105,105,105,355205,T402,1200P,Q,I,S,Grand Central Pky,408,j6,WH,2012
8603309395,NYCFCFAN,NY,SRF,01/01/2018,70,4DSD,VOLKS,20171216,105,105,105,355205,T402,1154A,Q,I,S,Grand Central Pky,408,j3,WH,2011
8603309383,T726644C,NY,OMT,01/01/2018,70,SUBN,CHEVR,20171130,105,105,105,355205,T402,1145A,Q,F,86-91,208th St,408,j3,BLACK,2015
8603309358,DYL7034,NY,PAS,01/01/2018,71,4DSD,LEXUS,20190513,107,107,107,355205,T402,1123A,Q,O,86-67,Somerset St,408,j6,DK/,2007
8602865077,8CJ6940,MD,PAS,01/01/2018,20,SUBN,FORD,20190588,103,103,103,366537,T402,0605P,Q,O,9027,161st St,408,d,RED,0
8602865065,4614TZ,MA,999,01/01/2018,20,4DSD,TOYOT,20180088,103,103,103,366537,T402,0602P,Q,F,9040,161st St,408,d,BLACK,0
8602865030,DSF3300,NY,PAS,01/01/2018,20,4DSD,TOYOT,20180913,102,102,102,366537,T402,0510P,Q,F,11408,Jamaica Ave,408,d,WH,1989
8602865028,DSF3300,NY,PAS,01/01/2018,71,4DSD,TOYOT,20180913,102,102,102,366537,T402,0508P,Q,F,11408,Jamaica Ave,408,j6,WH,1989
8602864991,FHB7225,NY,PAS,01/01/2018,14,SUBN,NISSA,20181121,103,103,103,366537,T402,0325P,Q,O,9218,Guy R Brewer Blvd,408,c,GY,2015
8602864980,T624172C,NY,OMT,01/01/2018,71,SUBN,TOYOT,20180531,103,103,103,366537,T402,0149P,Q,O,8817,172nd St,408,j6,BK,2017
8602864978,ZGA6241,NY,PAS,01/01/2018,40,4DSD,FORD,20180108,103,103,103,366537,T402,0127P,Q,I,E,170th St,408,e2,WHITE,0
8602864929,AH02164,CT,999,01/01/2018,14,SUBN,NISSA,88880088,103,103,103,366537,T402,1231P,Q,I,N,90th Ave,408,c,BLACK,0
8602864917,BLB8289,NY,PAS,01/01/2018,14,4DSD,DODGE,20180416,103,103,103,366537,T402,1229P,Q,I,S,90th Ave,408,c,GY,1998
8602864905,DFH9931,NY,PAS,01/01/2018,20,SUBN,TOYOT,20190329,103,103,103,366537,T402,1142A,Q,F,8912,164th St,408,d,BL,2005
8602864899,T726751C,NY,OMT,01/01/2018,70,SUBN,HONDA,20171231,103,103,103,366537,T402,1139A,Q,O,8840,164th St,408,j3,GY,2017
8602864887,14487SH,NY,SCL,01/01/2018,14,BUS,CHEVR,20171231,103,103,103,366537,T402,1135A,Q,F,16211,89th Ave,408,c,YW,2012
8602864875,14487SH,NY,SCL,01/01/2018,70,BUS,CHEVR,20171231,103,103,103,366537,T402,1133A,Q,F,16211,89th Ave,408,j3,YW,2012
8601655518,98443MJ,NY,COM,01/01/2018,14,VAN,FORD,20190331,14,14,14,363550,T106,0213P,NY,F,64,W 37th St,408,c,WH,2016
8602011430,FPY2705,NY,PAS,01/01/2018,71,SUBN,HYUND,20190819,102,102,102,363462,T402,0517P,Q,F,87-35,97th St,408,j6,BK,2006
8602011386,T724287C,NY,OMT,01/01/2018,70,SUBN,ME/BE,20171231,102,102,102,363462,T402,0353P,Q,F,89-07,Jamaica Ave,408,j3,BK,2017
8602011362,DNV4373,NY,PAS,01/01/2018,71,SUBN,JEEP,20181016,102,102,102,363462,T402,0317P,Q,F,85-80,88th St,408,j6,BK,2005
8600722883,BGB8418,NY,PAS,01/01/2018,71,4DSD,HONDA,20191217,24,24,24,357094,T103,0411P,NY,F,46,W 91st St,408,j6,BL,2008
8600722871,ERK3249,NY,PAS,01/01/2018,71,4DSD,TOYOT,20190423,20,20,20,357094,T103,0256P,NY,O,336,W 77th St,408,j6,GY,2010
8600722858,CKU6251,NY,PAS,01/01/2018,71,SUBN,KIA,20190428,24,24,24,357094,T103,0137P,NY,F,910,West End Ave,408,j6,GY,2011
8600722846,CDH8420,NY,PAS,01/01/2018,71,4DSD,NS/OT,20190120,24,24,24,357094,T103,0102P,NY,F,204,W 107th St,408,j6,TAN,2006
8600722834,T673033C,NY,OMT,01/01/2018,71,4DSD,TOYOT,20180531,24,24,24,357094,T103,1253P,NY,F,471,Central Park West,408,j6,GY,2015
8600722755,HWK1806,NY,PAS,01/01/2018,71,SUBN,HONDA,20191228,24,24,24,357094,T103,1119A,NY,I,W,Riverside Dr,408,j6,GY,2010
8602474003,FWY4060,NY,PAS,01/01/2018,71,4DSD,TOYOT,20180412,1,1,1,363518,T105,0405P,NY,F,136,W Broadway,408,j6,BK,2007
8602473965,FPJ7995,NY,PAS,01/01/2018,24,SUBN,ROVER,20190804,1,1,1,363518,T105,1255P,NY,F,63,Reade St,408,d5,GR,1997
8602473928,FRR4576,NY,PAS,01/01/2018,71,4DSD,AUDI,20191108,1,1,1,363518,T105,1126A,NY,F,101,Barclay St,408,j6,BK,2013
8602473916,ZAWP,NY,ORG,01/01/2018,14,4DSD,LEXUS,20180311,1,1,1,363518,T105,1106A,NY,F,33,Beekman St,408,c,WH,2016
8602473886,FYK4550,NY,PAS,01/01/2018,71,VAN,FORD,20180430,1,1,1,363518,T105,1036A,NY,F,26,Cedar St,408,j6,GY,2003
